,userId,movieId,rating,numbers
56473,374,316,3.0,140
63096,414,2353,4.0,67
20113,132,3897,3.5,83
48389,313,1968,2.0,113
61082,398,1197,5.0,142
79396,492,1042,5.0,42
10590,68,1387,3.5,91
78908,489,5502,3.5,63
80404,509,837,3.5,33
98545,607,1259,5.0,91
87799,567,480,2.0,238
92440,597,2109,5.0,27
86760,561,2476,4.0,12
25052,177,1219,5.0,83
3914,24,608,4.0,181
61658,408,61132,4.0,33
95510,600,2712,3.0,53
65365,419,3753,4.5,68
36417,249,527,4.5,220
46906,307,1136,3.5,136
19899,131,4993,3.5,198
100050,610,8641,4.5,57
3092,20,3408,3.5,70
40420,274,55765,4.0,37
49209,318,3751,3.5,78
100742,610,122904,3.0,54
28197,195,2692,4.0,75
56568,376,913,4.0,44
91140,590,8965,3.0,11
75033,474,27904,3.5,22
27071,183,380,4.0,178
32232,220,59315,4.5,94
9601,64,1682,4.0,125
87981,567,94959,3.5,29
29077,200,3481,5.0,75
82495,524,86,3.0,15
31550,219,260,5.0,251
16010,104,1408,3.0,39
44905,298,6333,2.5,76
47358,307,5679,2.0,47
42689,288,2951,3.5,39
65495,420,2657,5.0,63
73552,474,1597,3.0,43
27611,187,1673,4.0,39
76298,480,441,5.0,42
83033,525,91500,3.5,54
30854,216,3555,3.0,33
89736,580,45880,4.0,13
2000,18,6287,3.0,34
5347,36,4085,2.0,46
67756,438,2194,4.5,65
65582,420,54259,4.0,34
37915,257,2599,1.5,56
23140,159,377,3.0,171
85741,555,2989,4.0,21
52097,339,3147,5.0,111
52328,339,103249,2.5,19
23312,160,778,5.0,102
36386,249,110,5.0,237
66355,427,5952,4.5,188
33745,230,318,3.0,317
79664,495,51540,2.5,38
70877,453,380,4.0,178
67420,436,440,4.0,76
83462,530,597,4.0,135
42667,288,2857,3.0,14
26379,182,1722,3.5,45
67500,437,225,3.0,52
88108,567,139644,3.5,11
92463,597,2248,5.0,39
79696,495,79132,5.0,143
4041,26,150,3.0,201
56050,370,2997,4.0,99
49603,318,74458,4.5,67
64978,414,176371,5.0,18
43099,288,37729,3.5,44
23552,160,2953,1.0,31
46650,306,60126,3.5,16
32392,221,1674,4.0,40
74309,474,4571,4.5,45
73529,474,1449,4.0,24
73657,474,2010,3.5,21
67969,438,5349,4.0,122
94105,599,6059,2.5,17
17390,111,4069,2.5,22
96046,602,367,5.0,157
10623,68,1597,3.0,43
